Student,LPIPS,SSIM
112590023.png,0.34508809447288513,0.6582627222396884
112590044.png,0.35548293590545654,0.6900470968754355
110590456.png,0.3857167959213257,0.6347088044295633
112590026.png,0.3879178762435913,0.5871942565674292
112590029.png,0.3882105052471161,0.6778342979647101
112590013.png,0.3903271555900574,0.6862218485251635
112590035.png,0.3911384046077728,0.592560867230892
112590007.png,0.39264777302742004,0.6268853578321726
112590060.png,0.4011119604110718,0.6390957584440935
112590036.png,0.41291511058807373,0.6517709480402942
109810011.png,0.4137008786201477,0.5867523369874297
112590021.png,0.41662293672561646,0.525215155157269
112590017.png,0.4243014454841614,0.6311875681498987
112590005.png,0.4260218143463135,0.5552405279630833
112590038.png,0.42700961232185364,0.6257001525770031
112590014.png,0.4281899929046631,0.6689589235370704
112590041.png,0.4311080873012543,0.6050691359369176
112590004.png,0.44870564341545105,0.6039679797992112
112590020.png,0.4583625793457031,0.5272859922370355
112590033.png,0.46685072779655457,0.6137003001569877
112590057.png,0.4670543670654297,0.5372199738467092
112590022.png,0.4679049849510193,0.6012919343574092
112590025.png,0.482221394777298,0.4929062044838897
112590051.png,0.4850093424320221,0.4518405135878565
112590009.png,0.4876530170440674,0.5619325839745567
111820017.jpg,0.4916229546070099,0.5695229579723081
112590012.png,0.49280044436454773,0.6692813729022223
111332012.png,0.5004516839981079,0.5637822680624467
113378043.png,0.5136460661888123,0.5692322654021382
112590031.png,0.51959228515625,0.40690042008175825
110820009.png,0.5208072662353516,0.5028100866731158
112590052.png,0.5268811583518982,0.42147038731460656
112590024.png,0.534401535987854,0.4120875075402301
112590003.png,0.5376076698303223,0.5495314119518738
112590018.png,0.5448675751686096,0.41517320135956104
112590053.png,0.5605592131614685,0.41258478202851495
110590041.png,0.563086986541748,0.5779586034581042
112590030.png,0.5860084891319275,0.5391642064504345
